GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective.config,MOConfiguration.OptimizationParameter,34,0,0,0,4,0,1,0,1,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective.config,MOConfiguration,145,0,8,0,36,0,14,0,10,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective,MOResourceOptimizer.ActionRemove,51,0,0,0,11,0,2,0,2,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective,MOResourceScheduler.new Comparator() {...},27,0,2,0,7,0,3,0,2,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective,MOResourceScheduler.new Comparator() {...},20,0,0,0,4,0,2,0,2,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective,MOResourceOptimizer.MOCloudTypeProfile,49,0,2,0,19,0,5,0,4,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective,MOResourceOptimizer.ActionAdd,50,0,0,0,10,0,2,0,2,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective,MOResourceOptimizer.SortedList,118,0,10,0,18,0,9,0,4,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective,MOScheduleOptimizer,554,0,46,0,152,0,36,0,13,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective,MOResourceOptimizer.Resource,71,0,12,0,21,0,13,0,7,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective,MOScheduleOptimizer.new Comparator() {...},27,0,2,0,7,0,3,0,2,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective,MOScheduleOptimizer.new Comparator() {...},20,0,2,0,5,0,3,0,2,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective,MOResourceOptimizer.ConfigurationCost,75,0,0,0,8,0,2,0,2,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective,MOScheduleOptimizer.new Comparator() {...},9,0,0,0,2,0,2,0,2,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective,MOResourceOptimizer,3064,0,208,0,461,0,124,0,19,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective,MOSchedulingInformation,305,61,20,0,83,21,45,5,35,5
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective,MOResourceScheduler.new Comparator() {...},27,0,2,0,7,0,3,0,2,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective,MOResourceScheduler,2385,187,243,7,624,51,158,9,35,7
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective,MOScheduler,93,0,4,0,20,0,12,0,10,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective,MOResourceOptimizer.Action,39,0,0,0,10,0,4,0,4,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective.types,SchedulingEvent.Start.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective.types,OptimizationAction,42,23,0,0,27,7,27,1,27,1
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective.types,SchedulingEvent.End,125,0,8,0,30,0,8,0,4,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective.types,OptimizationWorker,31,0,0,0,10,0,6,0,6,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective.types,Gap,46,24,0,0,7,9,5,3,5,3
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective.types,MOProfile,122,65,4,2,29,23,11,6,9,5
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective.types,SchedulingEvent.Start,413,0,34,0,105,0,23,0,6,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective.types,SchedulingEvent,28,0,2,0,9,0,4,0,3,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective.types,MOScore,230,0,35,0,36,0,25,0,7,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective.types,SchedulingEvent.ResourceBlocked,53,0,0,0,15,0,4,0,4,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective.types,LocalOptimizationState,1053,0,98,0,258,0,92,0,43,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective.types,PriorityActionSet,482,0,54,0,96,0,39,0,12,0
COMPSs Scheduler Full Graph Multi-Objetive,es.bsc.compss.scheduler.multiobjective.types,MOProfileBuilder,40,0,0,0,16,0,5,0,5,0
